nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,store,place_id,nama_kelurahan,nama_kecamatan,nama_kota
indomaret fatmawati no.6,3.9,13,-6.2942065,106.7950223,"jl. rs. fatmawati raya no.6, rt.2/rw.5, cilandak bar., kota jakarta selatan",ChIJ6yLv7KvxaS4RlTGBTyv0phM,Indomaret,ChIJ6yLv7KvxaS4RlTGBTyv0phM,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret fatmawati 33d,5,1,-6.2664857,106.7975475,"rt 03 no, jl. rs. fatmawati raya no.33c, rt.2/rw.2, gandaria sel., kota jakarta selatan",ChIJsZgWTnXxaS4R_vrbAMPG_9c,Indomaret,ChIJsZgWTnXxaS4R_vrbAMPG_9c,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
indomaret fatmawati raya,4.2,18,-6.2695941,106.7975764,"jl. rs. fatmawati raya no.27, rt.1/rw.5, cipete sel., kota jakarta selatan",ChIJDwAAAJHxaS4RELZlVPfYtVg,Indomaret,ChIJDwAAAJHxaS4RELZlVPfYtVg,Cipete Selatan,Cilandak,Kota Jakarta Selatan
indomaret palem raya,1,1,-6.271645,106.803089,"jl. palem no.5, rt.14/rw.5, cipete sel., kota jakarta selatan",ChIJDwAAAJHxaS4RjyudUxZZxus,Indomaret,ChIJDwAAAJHxaS4RjyudUxZZxus,Cipete Selatan,Cilandak,Kota Jakarta Selatan
indomaret fatmawati 2,3.8,11,-6.2682054,106.7970959,"jalan rs. fatmawati no. 5, cilandak, rt.1/rw.3, gandaria sel., kota jakarta selatan",ChIJFb9gM5jxaS4Rq1wKzoM3qas,Indomaret,ChIJFb9gM5jxaS4Rq1wKzoM3qas,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
indomaret haji nawi ( tq03 ),0,0,-6.2637034,106.7954092,"4, jl. h. nawi raya no.28a, rt.4/rw.7, gandaria sel., kota jakarta selatan",ChIJ4dWEmRnxaS4RQFHJI6sgsqk,Indomaret,ChIJ4dWEmRnxaS4RQFHJI6sgsqk,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
indomaret madrasah,4.3,89,-6.266465,106.7914699,"no, jl. madrasah no.17, rt.7/rw.1, gandaria sel., kota jakarta selatan",ChIJ14sVU6LxaS4Rrt0AdBPZjQM,Indomaret,ChIJ14sVU6LxaS4Rrt0AdBPZjQM,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
mitra umkm indomaret,0,0,-6.2695104,106.7975699,"pqjx+52v, jl. rs. fatmawati raya, rt.6/rw.5, cipete sel., kota jakarta selatan",ChIJYWqPfpfxaS4RB7eEa52T3-0,Indomaret,ChIJYWqPfpfxaS4RB7eEa52T3-0,Cipete Selatan,Cilandak,Kota Jakarta Selatan
indomaret (abdul majid),4.4,207,-6.266423,106.8061697,"jl. cipete utara no.4, rt.17/rw.2, cipete sel., kota jakarta selatan",ChIJtzSt1YTxaS4RFu6cHY0WKkQ,Indomaret,ChIJtzSt1YTxaS4RFu6cHY0WKkQ,Cipete Selatan,Cilandak,Kota Jakarta Selatan
indomaret exit mrt h nawi,5,1,-6.266061,106.7975764,"jl. rs. fatmawati raya no.2, rt.4/rw.5, cipete sel., kota jakarta selatan",ChIJyzZxP67xaS4RMbpMyvQ2wbU,Indomaret,ChIJyzZxP67xaS4RMbpMyvQ2wbU,Cipete Selatan,Cilandak,Kota Jakarta Selatan
indomaret reno pangkalan jati,4.4,61,-6.3131032,106.7963693,"jl. pangkalan jati no.8, rt.2/rw.5, pd. labu, kota jakarta selatan",ChIJ_YPzTRbuaS4RBMIVZIUvApQ,Indomaret,ChIJ_YPzTRbuaS4RBMIVZIUvApQ,Pondok Labu,Cilandak,Kota Jakarta Selatan
indomaret adhiyaksa lebak bulus,4.5,13,-6.2977921,106.7762749,"4, jl. adhyaksa vii no.5, rw.5, lb. bulus, kota jakarta selatan",ChIJo6D2K9TxaS4RRAFRFQZF85I,Indomaret,ChIJo6D2K9TxaS4RRAFRFQZF85I,Lebak Bulus,Cilandak,Kota Jakarta Selatan
indomaret,4,1,-6.3110032,106.7935373,"mqqv+hcv, jl. h. ipin, rt.7/rw.1, pd. labu, kota jakarta selatan",ChIJI9WSpdXvaS4RyrpdfY2WyYA,Indomaret,ChIJI9WSpdXvaS4RyrpdfY2WyYA,Pondok Labu,Cilandak,Kota Jakarta Selatan
indomaret margasatwa raya,3.6,48,-6.3130393,106.8000683,"jl. margasatwa no.41, rt.8/rw.2, pd. labu, kota jakarta selatan",ChIJP8XfLBHuaS4RUZWOBnFgxCo,Indomaret,ChIJP8XfLBHuaS4RUZWOBnFgxCo,Pondok Labu,Cilandak,Kota Jakarta Selatan
indomaret,4.3,190,-6.310845,106.8031917,"jalan margasatwa, rt.1/rw.3, pondok labu, cilandak, rt.1/rw.3, pd. labu, kota jakarta selatan",ChIJz_7MYxDuaS4RL6XfEsDgb-M,Indomaret,ChIJz_7MYxDuaS4RL6XfEsDgb-M,Pondok Labu,Cilandak,Kota Jakarta Selatan
alfamart fatmawati 4,3.7,24,-6.2799761,106.79663,"jl. rs. fatmawati raya no.4, rt.3/rw.10, cilandak bar., kota jakarta selatan",ChIJY8eo0erxaS4R661fqNiVJsw,Alfamart,ChIJY8eo0erxaS4R661fqNiVJsw,Cilandak Barat,Cilandak,Kota Jakarta Selatan
alfamart,4.1,101,-6.303783,106.7814079,"jl. karang tengah raya no.kel, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJQfRfkSjuaS4RAiYQMIXjONI,Alfamart,ChIJQfRfkSjuaS4RAiYQMIXjONI,Lebak Bulus,Cilandak,Kota Jakarta Selatan
alfamart,3.8,16,-6.2776194,106.801396,"jl. cipete raya no.6, rt.6/rw.3 kel, cipete sel., kota jakarta selatan",ChIJvyXGa5PxaS4RGwSTqw4eyNI,Alfamart,ChIJvyXGa5PxaS4RGwSTqw4eyNI,Cipete Selatan,Cilandak,Kota Jakarta Selatan
alfamart pos fatmawati(1m1f),0,0,-6.2943276,106.7947017,"jl. rs. fatmawati raya no.10, rt.2/rw.4, cilandak bar., kota jakarta selatan",ChIJ07uYzrfxaS4RVVcyUC4vxQI,Alfamart,ChIJ07uYzrfxaS4RVVcyUC4vxQI,Cilandak Barat,Cilandak,Kota Jakarta Selatan
sumber alfaria trijaya. pt (alfamart),1,2,-6.3065871,106.7813887,"jl. karang tengah raya no.29, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJeZ_0Qy_uaS4RxNoVOQP_Nyc,Alfamart,ChIJeZ_0Qy_uaS4RxNoVOQP_Nyc,Lebak Bulus,Cilandak,Kota Jakarta Selatan
alfamart pondok labu,4.4,83,-6.3050746,106.794028,"jl. pd. labu 1 no.40, rt.2/rw.7, pd. labu, kota jakarta selatan",ChIJ38bENAvvaS4R1LdbC5p-uDE,Alfamart,ChIJ38bENAvvaS4R1LdbC5p-uDE,Pondok Labu,Cilandak,Kota Jakarta Selatan
alfamart,4.3,11,-6.3101879,106.7901479,"jl. h. ipin kel no.45 - a, rt.11/rw.1, pd. labu, kota jakarta selatan",ChIJk3cbNCPuaS4RrWMFJhBGcY0,Alfamart,ChIJk3cbNCPuaS4RrWMFJhBGcY0,Pondok Labu,Cilandak,Kota Jakarta Selatan
alfamart,4.6,5,-6.2962773,106.7897248,"jl. lebak bulus 1 rt 3/4 kel, rt.3/rw.4, cilandak bar., kota jakarta selatan",ChIJCx-hv97xaS4R-d86cMw_-Vs,Alfamart,ChIJCx-hv97xaS4R-d86cMw_-Vs,Cilandak Barat,Cilandak,Kota Jakarta Selatan
bright by alfamart,0,0,-6.3037727,106.7821517,"jl. karang tengah raya no.71, rt.7/rw.4, lb. bulus, kota jakarta selatan",ChIJx7rEgOnvaS4REZVEtk4z2X4,Alfamart,ChIJx7rEgOnvaS4REZVEtk4z2X4,Lebak Bulus,Cilandak,Kota Jakarta Selatan
alfamart,3.8,23,-6.2822937,106.7923652,"jl. terogong raya no.kel, rt.9/rw.10, cilandak bar., kota jakarta selatan",ChIJh6MqthnxaS4RX-VZKA02g-s,Alfamart,ChIJh6MqthnxaS4RX-VZKA02g-s,Cilandak Barat,Cilandak,Kota Jakarta Selatan
alfamart,0,0,-6.2929597,106.803038,"sovereign plaza, gedung, jl. tb simatupang kel no.kav.36, rt.2/rw.2, west cilandak, south jakarta city",ChIJqZkyc27xaS4R5CzWGNuI-sc,Alfamart,ChIJqZkyc27xaS4R5CzWGNuI-sc,Cilandak Barat,Cilandak,Kota Jakarta Selatan
alfamart,0,0,-6.2904353,106.7954148,"jl. rs. fatmawati raya kel no.33, rt. 01/09, rt.1/rw.9, cilandak bar., kota jakarta selatan",ChIJTYWeG7_xaS4RP-aI5kJQ4Rw,Alfamart,ChIJTYWeG7_xaS4RP-aI5kJQ4Rw,Cilandak Barat,Cilandak,Kota Jakarta Selatan
alfamart,4.2,239,-6.3083256,106.7978603,"jl. pinang raya kel no.6, rt.2/rw.2, pd. labu, kota jakarta selatan",ChIJgwgjsBnuaS4ROK7tEhrHbHM,Alfamart,ChIJgwgjsBnuaS4ROK7tEhrHbHM,Pondok Labu,Cilandak,Kota Jakarta Selatan
alfamart,0,0,-6.2795082,106.8072247,"prc4+5ww, rt.6/rw.11, west cilandak, south jakarta city",ChIJg1z4LdjxaS4RtLCmQRpbnE0,Alfamart,ChIJg1z4LdjxaS4RtLCmQRpbnE0,Cilandak Barat,Cilandak,Kota Jakarta Selatan
alfamart,4.4,58,-6.3111021,106.7857304,"jl. karang tengah i kel no.2a, rt.3/rw.8, lb. bulus, kota jakarta selatan",ChIJHUbBKDvuaS4RTSYAiwoXKDw,Alfamart,ChIJHUbBKDvuaS4RTSYAiwoXKDw,Lebak Bulus,Cilandak,Kota Jakarta Selatan
alfamart muhasyim,4.5,38,-6.2875123,106.7906552,"jl. kh muhasim raya no.9, rw.6, cilandak bar., kota jakarta selatan",ChIJ7TD6i8HxaS4R7XtoeIg2qwc,Alfamart,ChIJ7TD6i8HxaS4R7XtoeIg2qwc,Cilandak Barat,Cilandak,Kota Jakarta Selatan
alfamart,0,0,-6.3105462,106.7937534,"jl. pd. labu raya no.7, rw.1, pd. labu, kota jakarta selatan",ChIJmcOA6EXvaS4RQqMPIIRVwRA,Alfamart,ChIJmcOA6EXvaS4RQqMPIIRVwRA,Pondok Labu,Cilandak,Kota Jakarta Selatan
alfamart,4.6,16,-6.2676196,106.7970639,"jl. rs. fatmawati raya kel no.17 rt 002/002, rt.2/rw.2, gandaria sel., kota jakarta selatan",ChIJG1OrTJjxaS4Rh-es9t_IY2w,Alfamart,ChIJG1OrTJjxaS4Rh-es9t_IY2w,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
alfamart mangga raya,4.6,45,-6.2706697,106.7969812,"rt.1/rw.4, gandaria sel., kota jakarta selatan",ChIJjRUYeR_xaS4RGqLMHkq13co,Alfamart,ChIJjRUYeR_xaS4RGqLMHkq13co,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
alfamart,4.3,76,-6.2670475,106.792991,"jl. madrasah kel no.48, rt.8/rw.1, gandaria sel., kota jakarta selatan",ChIJ-xBaWJ_xaS4RSieZKuw5ftg,Alfamart,ChIJ-xBaWJ_xaS4RSieZKuw5ftg,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
sumber alfaria trijaya. pt (alfamart),5,4,-6.2670737,106.8019836,"jl. abdul majid raya no.33, rt.11/rw.7, cipete utara, kota jakarta selatan",ChIJu_W4zZvxaS4R-LlOuR9RWhE,Alfamart,ChIJu_W4zZvxaS4R-LlOuR9RWhE,Cipete Utara,Cilandak,Kota Jakarta Selatan
di depan alfamart,5,1,-6.2665447,106.7971267,"jl. rs. fatmawati raya no.33, rw.2, gandaria sel., kota jakarta selatan",ChIJaX-B5jjxaS4RJ2YNF7-2yC0,Alfamart,ChIJaX-B5jjxaS4RJ2YNF7-2yC0,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
alfamart,0,0,-6.2921598,106.7715761,"pq5c+4jm, rt.4/rw.2, lebak bulus, south jakarta city",ChIJe_KhtJXxaS4Ro2d18maz9HI,Alfamart,ChIJe_KhtJXxaS4Ro2d18maz9HI,Lebak Bulus,Cilandak,Kota Jakarta Selatan
alfamart batan,0,0,-6.3002921,106.776064,"jl. lb. bulus no.48, rt.3/rw.4, lb. bulus, kota jakarta selatan",ChIJbd-MJCruaS4RSb7vFayLGfQ,Alfamart,ChIJbd-MJCruaS4RSb7vFayLGfQ,Lebak Bulus,Cilandak,Kota Jakarta Selatan
alfamart,3.9,109,-6.3127449,106.7967237,"jl. margasatwa no.1, rt.1/rw.2 kel, pd. labu, kota jakarta selatan",ChIJ9-f0rBfuaS4RflvVgq5gTTo,Alfamart,ChIJ9-f0rBfuaS4RflvVgq5gTTo,Pondok Labu,Cilandak,Kota Jakarta Selatan
alfamart,4.3,59,-6.3132072,106.8032178,"jl. margasatwa raya no 14a-c, kel, rt.1/rw.3, pd. labu, kota jakarta selatan",ChIJCz-ABPPvaS4RvH3YwYy3D3U,Alfamart,ChIJCz-ABPPvaS4RvH3YwYy3D3U,Pondok Labu,Cilandak,Kota Jakarta Selatan
alfamart margasatwa raya,4.6,54,-6.3130741,106.8004155,"jl. margasatwa no.90, rt.8/rw.2, pd. labu, kota jakarta selatan",ChIJ46jSRZvvaS4ReMMdsz0r-Ls,Alfamart,ChIJ46jSRZvvaS4ReMMdsz0r-Ls,Pondok Labu,Cilandak,Kota Jakarta Selatan
indomaret,4.7,6,-6.3203625,106.8106762,"jl. m. khafi no.62, rt.3/rw.4, jagakarsa, kota jakarta selatan",ChIJWdlCSXPuaS4RzpIWwflyKKU,Indomaret,ChIJWdlCSXPuaS4RzpIWwflyKKU,Jagakarsa,Jagakarsa,Kota Jakarta Selatan
indomaret ciremai jagakarsa,3.9,22,-6.3245086,106.8113082,"jl. m.kahfi 1 rt 01/rw 04, jagakarsa, jagakarsa, rt.2/rw.7, jagakarsa, south jakarta city",ChIJcQAAANntaS4RAesd4Pw1hXk,Indomaret,ChIJcQAAANntaS4RAesd4Pw1hXk,Jagakarsa,Jagakarsa,Kota Jakarta Selatan
indomaret jl. m. kahfi 1,4.1,73,-6.3180584,106.8113141,"jalan jagakarsa blok hidayah no.10 rt.10/rw.6, rt.3/rw.6, jagakarsa, kota jakarta selatan",ChIJWQO5mgzuaS4RFP9F2gFfJyY,Indomaret,ChIJWQO5mgzuaS4RFP9F2gFfJyY,Jagakarsa,Jagakarsa,Kota Jakarta Selatan
indomaret raya jagakarsa,4.4,221,-6.3273649,106.8163662,"no., jl. raya jagakarsa no.2, rt.10/rw.2, jagakarsa, kota jakarta selatan",ChIJnz15NXbuaS4RjtdQGUQE7gY,Indomaret,ChIJnz15NXbuaS4RjtdQGUQE7gY,Jagakarsa,Jagakarsa,Kota Jakarta Selatan
indomaret durian jagakarsa,4.4,243,-6.3187172,106.8157181,"jl. paso no.32, rt.4/rw.4, jagakarsa, kota jakarta selatan",ChIJp2612gruaS4R6xThXZZnoQw,Indomaret,ChIJp2612gruaS4R6xThXZZnoQw,Jagakarsa,Jagakarsa,Kota Jakarta Selatan
papaya indomaret jagakarsa,4.5,269,-6.3253273,106.8198997,"jl. pepaya raya no.4, rt.2/rw.5, jagakarsa, kota jakarta selatan",ChIJTTG_z9jtaS4RnfCTBd_V_Sw,Indomaret,ChIJTTG_z9jtaS4RnfCTBd_V_Sw,Jagakarsa,Jagakarsa,Kota Jakarta Selatan
indomaret jagakarsa 1 no.1,4.5,196,-6.3322727,106.8204749,"mr9c+35v, townhouse jagakarsa, jl. jagakarsa 1, rt.3/rw.2, jagakarsa, kota jakarta selatan",ChIJnfhFPGLtaS4R8RAXOhmLRC4,Indomaret,ChIJnfhFPGLtaS4R8RAXOhmLRC4,Jagakarsa,Jagakarsa,Kota Jakarta Selatan
indomaret m kahfi,3.6,8,-6.3406939,106.8044744,"jl. m. khafi no.5, rt.8/rw.6, ciganjur, kota jakarta selatan",ChIJFxAcIIjuaS4RYFvViU4kKeA,Indomaret,ChIJFxAcIIjuaS4RYFvViU4kKeA,Ciganjur,Jagakarsa,Kota Jakarta Selatan
indomaret timbul (t18j),4.3,87,-6.3517988,106.810539,"jl. timbul no.37, rt.1/rw.3, cipedak, kota jakarta selatan",ChIJ9SsEQJvuaS4RNq5qlCDIJtw,Indomaret,ChIJ9SsEQJvuaS4RNq5qlCDIJtw,Cipedak,Jagakarsa,Kota Jakarta Selatan
indomaret srengseng,4.3,195,-6.3455694,106.8262261,"jl. yon zikon 14 no.1-32, rt.6/rw.6, srengseng sawah, kota jakarta selatan",ChIJ-2nJhS7saS4RpCO7nEHGBsU,Indomaret,ChIJ-2nJhS7saS4RpCO7nEHGBsU,Srengseng Sawah,Jagakarsa,Kota Jakarta Selatan
indomaret brigif raya,4.3,135,-6.3442002,106.8017057,"jl. brigif no.15, rt.1/rw.1, cipedak, kota jakarta selatan",ChIJh-0yE4nuaS4RT4cgaf1ZTk8,Indomaret,ChIJh-0yE4nuaS4RT4cgaf1ZTk8,Cipedak,Jagakarsa,Kota Jakarta Selatan
indomaret masjid annur,2,3,-6.3464005,106.8143894,"jl. moh. kafi no.24, rt.2/rw.5, cipedak, kota jakarta selatan",ChIJF2LOzoPuaS4RGhpeBivt3Zk,Indomaret,ChIJF2LOzoPuaS4RGhpeBivt3Zk,Cipedak,Jagakarsa,Kota Jakarta Selatan
